topic,sub_topic,video_title,question,answer,sequence_tree,topic_terms
Bluetooth,About Bluetooth,,I have more questions about using Bluetooth with my Nissan,Please ask your question and I will try to answer it as best as I can. You can also contact your local dealership here: <a href='https://www.downtownnashvillenissan.com'> https://www.downtownnashvillenissan.com</a>,(S  (SP I/PRP (VP have/VBP))  (NP more/JJR question/NNS)  about/IN  (VP use/VBG)  (GNP (NP bluetooth/NN) with/IN (NP my/PRP$ nissan/NNS))),"have,more question,use,bluetooth,my nissan"
Bluetooth,About Bluetooth,,What features are available once I connect my compatible Bluetooth phone to my vehicle?,"With Bluetooth, you can make and receive calls, text messages and put music without touching your phone. Ask me: 'How do I pair my phone', to get detailed instructions.",(S  (WH what/WP)  (SP (NP feature/NNS) (VP be/VBP))  (NP available/JJ)  once/RB  (SP I/PRP (VP connect/VBP))  (GNP    (NP my/PRP$ compatible/JJ bluetooth/NN phone/NN)    to/TO    (NP my/PRP$ vehicle/NN))),"feature,be,available,connect,my compatible bluetooth phone,my vehicle"
Bluetooth,About Bluetooth,,Can I pay with my phone through bluetooth?,"With Bluetooth, you can make and receive calls, text messages and put music without touching your phone. Ask me: 'How do I pair my phone', to get detailed instructions.",(S  (QSP can/MD (SP I/PRP (VP pay/VB)))  with/IN  (GNP (NP my/PRP$ phone/NN) through/IN (NP bluetooth/NN))),"pay,my phone,bluetooth"
Bluetooth,About Bluetooth,,What is Bluetooth?,"With Bluetooth, you can make and receive calls, text messages and put music without touching your phone. Ask me: 'How do I pair my phone', to get detailed instructions.",(S (WH what/WP) (VP be/VBZ) (NP bluetooth/DT)),"be,bluetooth"
Bluetooth,About Bluetooth,,What are the uses of Bluetooth?,"With Bluetooth, you can make and receive calls, text messages and put music without touching your phone. Ask me: 'How do I pair my phone', to get detailed instructions. ",(S  (WH what/WDT)  (VP be/VBP)  (GNP (NP the/DT us/NNS) of/IN (NP bluetooth/NN))),"be,the us,bluetooth"
Bluetooth,Compatibility,,Are new Bluetooth phones compatible with my Nissan?,"Most recent devices should be compatible, you can check the compatibility here: <a href='https://www.nissanusa.com/bluetooth/device-compatibility'> https://www.nissanusa.com/bluetooth/device-compatibility</a>",(S  (VP be/VBP)  (GNP    (NP new/JJ bluetooth/JJ phone/NNS compatible/JJ)    with/IN    (NP my/PRP$ nissan/NNS))),"be,new bluetooth phone compatible,my nissan"
Bluetooth,Compatibility,,Is my Bluetooth phone compatible with my vehicle?,"Most recent devices should be compatible, you can check the compatibility here: <a href='https://www.nissanusa.com/bluetooth/device-compatibility'> https://www.nissanusa.com/bluetooth/device-compatibility</a>",(S  (VP be/VBZ)  (GNP    (NP my/PRP$ bluetooth/JJ phone/NN compatible/NN)    with/IN    (NP my/PRP$ vehicle/NN))),"be,my bluetooth phone compatible,my vehicle"
Bluetooth,Compatibility,,Is my vehicle compatible with Bluetooth?,"Most recent devices should be compatible, you can check the compatibility here: <a href='https://www.nissanusa.com/bluetooth/device-compatibility'> https://www.nissanusa.com/bluetooth/device-compatibility</a>",(S  (VP be/VBZ)  (GNP    (NP my/PRP$ vehicle/NN compatible/JJ)    with/IN    (NP bluetooth/NN))),"be,my vehicle compatible,bluetooth"
Bluetooth,Compatibility,,Why is my Bluetooth phone not listed as a compatible device?,"Maybe your phone has not being tested or major calling functions was not stable.@nlIf your phone is not listed, limited functions may be available, but the system will not operate correctly or to its fullest capability.@nlWant to see if your device is listed? Check here: <a href='https://www.nissanusa.com/bluetooth/device-compatibility'> https://www.nissanusa.com/bluetooth/device-compatibility</a>",(S  (WH why/WRB)  (VP be/VBZ)  (NP my/PRP$ bluetooth/JJ phone/NN)  not/RB  (VP list/VBN)  as/IN  (NP a/DT compatible/JJ device/NN)),"be,my bluetooth phone,list,a compatible device"
Bluetooth,Bluetooth Pairing,"bluetooth_pairing",How do I pair my Bluetooth phone to my vehicle?,"First, you need to make sure that the Bluetooth of your phone is on and discoverable by other devices.@nlBluetooth is in the settings on your phone, and you can activate it by turning it off and then back on.@nlNow, in the car do the following steps.@nlPush the Home button and touch the Phone icon on the touch screen.@nlSelect [Add New] to connect a new phone. If already 5 phones have been connected you will need to delete one.@nlOnce done that, you're fully set!
",(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP pair/VB)))  (GNP    (NP my/PRP$ bluetooth/DT phone/NN)    to/TO    (NP my/PRP$ vehicle/NN))),"pair,my bluetooth phone,my vehicle"
Bluetooth,Bluetooth Pairing,,How do I begin connecting my Bluetooth phone to my vehicle?,"First, you need to make sure that the Bluetooth of your phone is on and discoverable by other devices.@nlBluetooth is in the settings on your phone, and you can activate it by turning it off and then back on.@nlNow, in the car do the following steps.@nlPush the Home button and touch the Phone icon on the touch screen.@nlSelect [Add New] to connect a new phone. If already 5 phones have been connected you will need to delete one.@nlOnce done that, you're fully set!",(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP begin/VB connect/VBG)))  (GNP    (NP my/PRP$ bluetooth/NN phone/NN)    to/TO    (NP my/PRP$ vehicle/NN))),"begin connect,my bluetooth phone,my vehicle"
Bluetooth,Bluetooth Pairing,,Can I connect multiple Bluetooth devices to my vehicle?,"The system supports up to five different phones. However, only one phone can be used at a time. If you try to add a sixth phone, the system will request you delete one phone.",(S  (QSP can/MD (SP I/PRP (VP connect/VBP)))  (GNP    (NP multiple/JJ bluetooth/NN device/NNS)    to/TO    (NP my/PRP$ vehicle/NN))),"connect,multiple bluetooth device,my vehicle"
Bluetooth,Bluetooth Pairing,,How many phones can I connect to my vehicle?,"The system supports up to five different phones. However, only one phone can be used at a time. If you try to add a sixth phone, the system will request you delete one phone.",(S  (WH how/WRB)  (NP many/JJ phone/NNS)  (QSP can/MD (SP I/PRP (VP connect/VBP)))  to/TO  (NP my/PRP$ vehicle/NN)),"many phone,connect,my vehicle"
Bluetooth,Bluetooth Pairing,,Which phone is paired to the vehicle if there are multiple devices in the car?,"Connections will be prioritized by the order in which the phones were paired to the vehicle.@nlIf you want to switch phones, make sure Bluetooth is on and discoverable on the phone you want to switch, then select change phone.@nlIf you wish to pair an Android via Bluetooth after having paired an iPhone, you should disconnect the USB cable before pairing.@nlIf you're still having trouble, you can contact your local dealership here: <a href='https://www.downtownnashvillenissan.com'> https://www.downtownnashvillenissan.com</a>",(S  (WH which/WDT)  (SP (NP phone/NN) (VP be/VBZ pair/VBN))  to/TO  (NP the/DT vehicle/NN)  if/IN  there/EX  (VP be/VBP)  (GNP (NP multiple/JJ device/NNS) in/IN (NP the/DT car/NN))),"phone,be pair,the vehicle,be,multiple device,the car"
Bluetooth,Bluetooth Pairing,,How do I change the name of a paired phone?,You must edit the name of the phone before you pair it with the system.,(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP change/VB)))  (GNP (NP the/DT name/NN) of/IN (NP a/DT paired/JJ phone/NN))),"change,the name,a paired phone"
Bluetooth,Bluetooth Pairing,,Why isn't Bluetooth pairing my phone?,"Make sure your device is charged as low battery level might impact the connection.@nlTurn off Bluetooth (if on), then turn it back on.@nlPlace your device close to the vehicle's audio system to maximize signal strength.@nlMove metal, such as coins or metal pens, away from your Bluetooth device and the vehicle's audio system.@nlYou can check the compatibility of your phone here: <a href='https://www.nissanusa.com/bluetooth/device-compatibility'> https://www.nissanusa.com/bluetooth/device-compatibility</a>",(S  (WH why/WRB)  (SP (NP isn/JJ bluetooth/NN) (VP pair/VBG))  (NP my/PRP$ phone/NN)),"isn bluetooth,pair,my phone"
Bluetooth,Bluetooth Pairing,,Why are some function slow to use and load?,Make sure your device is charged as low battery level might impact the connection.@nlTurn off Bluetooth on other devices to avoid interference.@nlYou can also connect your device via AUX or USB cable.,(S  (WH why/WRB)  (QSP (VP be/VBP) (SP (NP some/DT function/NN) (VP slow/VB)))  to/TO  (QSP (VP use/VB) (SP (NP and/CC) (VP load/VB)))),"some function,slow,and,load"
Bluetooth,Bluetooth Pairing,,Why can't my vehicle find my Bluetooth phone that was paired before?,"First turn off Bluetooth on the device that was most recently paired.@nlThen turn off Bluetooth on the device that cannot be found (if on), then turn it back on.@nlGive your device time to be discovered (at least 1 minute).@nlRemove the pairing on your device and vehicle, then pair them again.",(S  (WH why/WRB)  (QSP can/MD (SP (NP my/PRP$ vehicle/NN) (VP find/VB)))  (NP my/PRP$ bluetooth/NN phone/NN)  (WH that/WDT)  (VP be/VBD pair/VBN)  before/IN),"my vehicle,find,my bluetooth phone,be pair"
Bluetooth,Bluetooth Pairing,,Why won't my compatible Bluetooth phone connect to my device?,If your phone is compatible then try to remove previous phone of the system. Ask me: 'How to delete a phone' if you need assistance to remove a phone.,(S  (WH why/WRB)  (VP win/VBD)  (GNP    (NP my/PRP$ compatible/JJ bluetooth/NN phone/NN connect/NN)    to/TO    (NP my/PRP$ device/NN))),"win,my compatible bluetooth phone connect,my device"
Bluetooth,Audio & Music,,How do I make a call?,"To make a call using Bluetooth, first make sure that your phone is connected to the car via Bluetooth.@nlSelect the home button [MENU] and select the phone icon on the touchscreen [Phone].@nlFinally, select a phone from the phone book.",(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP make/VB)))  (NP a/DT call/NN)),"make,a call"
Bluetooth,Audio & Music,,How can I phone somebody?,"To make a call using Bluetooth, first make sure that your phone is connected to the car via Bluetooth.@nlSelect the home button [MENU] and select the phone icon on the touchscreen [Phone].@nlFinally, select a phone from the phone book.",(S (WH how/WRB) can/MD I/PRP (NP phone/NN somebody/NN)),phone somebody
Bluetooth,Audio & Music,,Can I call without using my phone?,"To make a call using Bluetooth, first make sure that your phone is connected to the car via Bluetooth.@nlSelect the home button [MENU] and select the phone icon on the touchscreen [Phone].@nlFinally, select a phone from the phone book.",(S  (QSP can/MD (SP I/PRP (VP call/VB)))  without/IN  (VP use/VBG)  (NP my/PRP$ phone/NN)),"call,use,my phone"
Bluetooth,Audio & Music,,How to call someone?,"To make a call using Bluetooth, first make sure that your phone is connected to the car via Bluetooth.@nlSelect the home button [MENU] and select the phone icon on the touchscreen [Phone].@nlFinally, select a phone from the phone book.",(S (WH how/WRB) to/TO (VP call/VB) (NP someone/NN)),"call,someone"
Bluetooth,Audio & Music,,How do I end a call?,"To end an active call, press the phone button located on the streering wheel once more.",(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP end/VB)))  (NP a/DT call/NN)),"end,a call"
Bluetooth,Audio & Music,,How do I terminate a call?,"To end an active call, press the phone button located on the streering wheel once more.",(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP terminate/VB)))  (NP a/DT call/NN)),"terminate,a call"
Bluetooth,Audio & Music,,How do I hang up a call?,"To end an active call, press the phone button located on the streering wheel once more.",(S  (WH how/WRB)  (QSP (VP do/VB) (SP I/PRP (VP hang/VB)))  up/RP  (NP a/DT call/NN)),"hang,a call"
Bluetooth,Audio & Music,,How do I receive a call?,"To answer an incoming call, push the phone button on the steering wheel.",(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP receive/VB)))  (NP a/DT call/NN)),"receive,a call"
Bluetooth,Audio & Music,,How do I pick up the phone?,"To answer an incoming call, push the phone button on the steering wheel.",(S  (WH how/WRB)  (QSP (VP do/VBP) (SP I/PRP (VP pick/VB)))  up/RP  (NP the/DT phone/NN)),"pick,the phone"
Bluetooth,Audio & Music,,How to refuse a call?,"To reject the call, touch [Decline].",(S (WH how/WRB) to/TO (VP refuse/VB) (NP a/DT call/NN)),"refuse,a call"
Bluetooth,Audio & Music,,How to reject a call?,"To reject the call, touch [Decline].",(S (WH how/WRB) to/TO (VP reject/VB) (NP a/DT call/NN)),"reject,a call"
Bluetooth,Audio & Music,,How to decline a call?,"To reject the call, touch [Decline].",(S (WH how/WRB) to/TO (VP decline/VB) (NP a/DT call/NN)),"decline,a call"
